"task_info_id";"business_category";"process_group";"basic_process";"special_process";"task_name";"standard_manual";"three_basis_requirement";"integrated_system_element";"hse_system_element";"execution_post";"personnel";"task_permission";"work_basis_standard";"work_cycle_frequency";"trigger_time";"required_finish_time";"standard_form";"information_system";"organization_setting";"dl1_function_module";"dl2_business_category";"dl3_basic_business";"create_time";"update_time"
1;"物资供应";"产品、原料仓储与配送";"产品、原料入库检验与计量";"贮运,质检";"原辅料和产品、成品取样分析";"";"3.2基础工作";"";"";"";"";"";"《扬子石化原油天然气供应管理办法》3.2.2、3.7.1.1、3.7.1.2、3.7.1.3、3.7.1.4、3.7.2.10、3.7.3、4.5.3";"按需";"人工配置";"人工配置";"0101质量检验报告";"";"计划经营部";"物流管理";"物流管理";"";"2026-09-13 22:39:06";""
2;"物资供应";"产品、原料仓储与配送";"产品、原料入库检验与计量";"贮运";"原辅料入库计量验收与交接";"";"3.2基础工作";"";"";"";"";"";"《扬子石化物流管理办法》3.5.1.1、3.5.1.2、3.5.1.3、3.5.1.4";"按需";"人工配置";"人工配置";"0102入库交接手续";"";"计划经营部";"物流管理";"物流管理";"";"2026-09-13 22:39:06";""
3;"物资供应";"产品、原料仓储与配送";"产品、原料储存";"贮运,油品";"产品、原料储存与日盘点";"";"3.2基础工作";"";"";"生产主管";"";"直接执行";"《扬子石化物流管理办法》3.5.3.1
《扬子石化石油化工产品存货管理办法》4.4.3";"1次/天";"每天08:00";"每天23:00";"0103库存盘点表";"生产执行系统";"计划经营部";"生产经营计划";"统计管理";"公司物料盘点";"2026-09-13 22:39:06";""
4;"物资供应";"产品、原料仓储与配送";"统计核算";"贮运,油品";"统计核算";"";"3.2基础工作";"";"";"生产主管";"";"直接执行";"《扬子石化统计管理办法》4.7.3.1";"按需";"人工配置";"人工配置";"0104数据库";"生产执行系统、ERP系统";"计划经营部";"生产经营计划";"统计管理";"综合统计";"2026-09-13 22:39:06";""
5;"物资供应";"产品、原料仓储与配送";"产品、原料输转与移库";"贮运,油品";"产品、原料输转与移库";"";"3.2基础工作";"";"";"";"";"";"《扬子石化物流管理办法》3.5.4.1、3.5.4.2、3.5.4.3";"按需";"人工配置";"人工配置";"0105输转与移库手续凭证";"";"计划经营部";"物流管理";"物流管理";"";"2026-09-13 22:39:06";""
6;"物资供应";"产品、原料仓储与配送";"产品、原料物流计划";"贮运,油品";"日作业计划编排、实施与申报";"";"3.2基础工作";"";"";"";"";"";"《扬子石化物流管理办法》3.2.2.1、3.2.2.2";"1次/天";"每天08:00";"每天23:00";"0106日作业计划";"物流管理系统";"计划经营部";"物流管理";"物流管理";"成品出厂（物流计划管理）";"2026-09-13 22:39:06";""
7;"物资供应";"产品、原料仓储与配送";"产品、原料出库";"贮运,油品";"产品、原料出库检查：（1）核查承运车船手续和适装（运）条件；（2）核查承运商人员资质；（3）物流装卸作业过程管控";"";"3.2基础工作";"";"";"";"";"";"《扬子石化物流管理办法》3.5.2.1、3.5.2.2、3.5.2.3";"按需";"人工配置";"人工配置";"0107核查记录";"物流管理系统";"计划经营部";"物流管理";"物流管理";"销售物流仓储（物流HSE管理）";"2026-09-13 22:39:06";""
8;"物资供应";"物资采购";"采购计划";"通用";"编制提报物资需求计划";"";"3.2基础工作";"8.4.2  物资采购";"4.5 采购质量管理";"工艺员,设备员,安全员";"";"直接执行";"《扬子石化物资计划管理办法》3.1.1.1、3.1.1.2、3.2.1、3.2.2、3.2.3
《扬子石化物资采购质量控制管理办法》3.1.1.2";"1次/月";"每月1日08:00";"每月15日23:00";"0108物资需求计划清单";"ERP系统";"物资采购中心";"物资采购";"物资采购";"采购需求计划（采购计划）";"2026-09-13 22:39:06";""
9;"物资供应";"物资采购";"采购计划";"通用";"需求计划评审及变更";"";"3.2基础工作";"8.4.2  物资采购";"4.5 采购质量管理";"工艺员,设备员,安全员";"";"直接执行";"《扬子石化物资计划管理办法》3.3.1、3.3.2";"按需";"人工配置";"人工配置";"";"ERP系统";"物资采购中心";"物资采购";"物资采购";"采购需求计划（采购计划）";"2026-09-13 22:39:06";""
10;"物资供应";"物资采购";"采购计划";"物采";"生成物资采购申请";"";"3.2基础工作";"8.4.2  物资采购";"4.5 采购质量管理";"";"";"直接执行";"《扬子石化物资计划管理办法》3.4.1、3.4.2、3.4.3";"";"";"";"";"ERP系统";"物资采购中心";"物资采购";"物资采购";"采购需求计划（采购计划）";"2026-09-13 22:39:06";""
